A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2009.00119            |2020-09-30|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |1350002
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2010.00078            |2020-10-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |253800000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2010.00080            |2020-10-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |144719979
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2011.00011            |2020-11-26|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |145800000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2011.00056            |2020-11-26|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |116640000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2011.00057            |2020-11-26|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |291600000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2011.00109            |2020-11-30|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |268511352
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2011.00110            |2020-11-30|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |36936000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2012.00132            |2020-12-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |341404055
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2012.00133            |2020-12-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |155520000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2101.00054            |2021-01-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |6292000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2101.00055            |2021-01-31|ESEMAG                        |SIDO MUNCUL, PT                                             |153380282
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2101.00056            |2021-01-31|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |154289864
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00012            |2021-02-24|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |746342
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00013            |2021-02-24|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |840000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00046            |2021-02-24|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |36850000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00064            |2021-02-28|ROHTO V-EXTRA                 |ROHTO LABORATORIES INDONESIA,PT                             |19635000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00065            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |27500000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00066            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |27500000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00068            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |55000000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00069            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |500000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00070            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |500000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00071            |2021-02-28|SHOPEE                        |SHOPEE INTERNATIONAL INDONESIA. PT                          |500000
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00072            |2021-02-28|ESEMAG                        |SIDO MUNCUL, PT                                             |121619718
A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2102.00073            |2021-02-28|KUKU BIMA ENERGI VIT C 1000   |SIDO MUNCUL, PT                                             |6495077
A00009-SSI  |ARMANANTA EKA PUTRA, PT                                     ||2012.00025            |2020-12-28|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |291600000
A00009-SSI  |ARMANANTA EKA PUTRA, PT                                     ||2012.00096            |2020-12-31|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |145800000
A00009-SSI  |ARMANANTA EKA PUTRA, PT                                     ||2102.00067            |2021-02-28|ESEMAG                        |SIDO MUNCUL, PT                                             |99000000
A00012-BLI  |ASIA MEDIA NETWORK, PT                                      ||0905.00156            |2009-05-31|INDOPRIX                      ||3793455
A00012-BLI  |ASIA MEDIA NETWORK, PT                                      ||0908.0001             |2009-08-31|INDOPRIX                      ||2430000
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||08.004.0136-08        |2008-08-31|TELKOM FLEXI                  ||1090382
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||08.004.0139-08        |2008-08-31|AQUA - AQC                    ||2126063
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||08.004.0141-08        |2008-08-31|MIZONE                        ||991800
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||09.004.0205-08        |2008-09-30|TELKOM FLEXI                  ||934615
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||0906.00249            |2009-06-30|JK-WIN                        ||1800000
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||10.004.0042-08        |2008-10-05|KAPAL API REGULER             ||864000
A00012-SII  |ASIA MEDIA NETWORK, PT                                      ||10.004.0043-08        |2008-10-05|KAPAL API REGULER             ||1080000
A00012-SSI  |ASIA MEDIA NETWORK, PT                                      ||0902.00535            |2009-02-28|TELKOM FLEXI                  ||1247980
A00013-KSI  |ASIA PERKASA RAYA, PT                                       ||006.0040373 -06       |2006-06-30|||72633768
A00013-KSI  |ASIA PERKASA RAYA, PT                                       ||007.0040491-06        |2006-07-31|SMS HUT                       ||461677
A00030-SII  |ASIA VISI PROFITAMA, PT                                     ||0905.00296            |2009-05-31|ALBEN                         ||3933332
A00046-SII  |AVABANINDO PERKASA, PT                                      ||0909.00351            |2009-09-30|BANKING                       ||655769
A00046-SII  |AVABANINDO PERKASA, PT                                      ||0910.00229            |2009-10-31|BANKING                       ||1150000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2009.00154            |2020-09-30|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2010.00107            |2020-10-31|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2010.00108            |2020-10-31|SUNGUARD ALL IN ONE           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2010.00109            |2020-10-31|POWER FITTING                 |AVIA AVIAN INDUSTRI PIPA. PT                                |2500000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2011.00144            |2020-11-30|NO DROP READY MIX             |AVIA AVIAN, PT                                              |321200
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2011.00145            |2020-11-30|POWER FITTING                 |AVIA AVIAN INDUSTRI PIPA. PT                                |2500000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2011.00146            |2020-11-30|SUNGUARD ALL IN ONE           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2011.00147            |2020-11-30|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2012.00155            |2020-12-31|NO DROP READY MIX             |AVIA AVIAN, PT                                              |6500000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2012.00156            |2020-12-31|SUNGUARD ALL IN ONE           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2012.00157            |2020-12-31|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |4000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2101.00096            |2021-01-31|SUNGUARD ALL IN ONE           |AVIA AVIAN, PT                                              |220000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2101.00097            |2021-01-31|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |220000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2101.00098            |2021-01-31|NO DROP READY MIX             |AVIA AVIAN, PT                                              |220000000
